,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR - RRF (NRFF C1.2)  ,Go To HR - RRF (NRFF C1.2)  ,"European Recovery and Reseliance Fund (RRF),  National Recovery and Resilience Fund",https://planoporavka.gov.hr/UserDocsImages/dokumenti/Plan%20oporavka%20i%20otpornosti%2C%20srpanj%202021..pdf?vel=13435491,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"National Recovery and Resilience Fund C1.2
Energy transition for sustainable economy




","Revitalization, construction, and digitalization of the energy system and related infrastructure for the decarbonization of the energy sector.
Promotion of energy efficiency, district heating, and renewable energy sources for the decarbonization of the energy sector.
Utilization of hydrogen and new technologies",MINGOR,,1,"C 1.2. R1-I1 Revitalization, construction, and digitalization of the energy system and related infrastructure for the decarbonization of the energy sector. Total funding available: 389.585.225,00 EUR
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - RRF (NRFF C1.3) (2),Go To HR - RRF (NRFF C1.3) (2),"European Recovery and Reseliance Fund (RRF),  National Recovery and Resilience Fund",https://planoporavka.gov.hr/UserDocsImages/dokumenti/Plan%20oporavka%20i%20otpornosti%2C%20srpanj%202021..pdf?vel=13435491,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"National Recovery and Resilience Fund C1.3
Improvement of water management and waste management.




","Development of public wastewater drainage.
Reducing disaster risks in the water management sector.
Reducing waste disposal.

",MINGOR,,1,"C 1.2. R1-I1 Revitalization, construction, and digitalization of the energy system and related infrastructure for the decarbonization of the energy sector. Total funding available: 389.585.225,00 EUR
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - INTERREG CRO-IT,Go To HR - INTERREG CRO-IT,"European Regional Development Fund (ERDF),  INTERREG IT-CRO",https://programming14-20.italy-croatia.eu/documents/4208634/5145597/INTERREG_Italy_Croatia_Programme_2021_2027-2.pdf/b5164d62-8395-df4c-deb6-3d00cbd2bd64?t=1669370447035,"Croatia, Italy",0,NUTS2 region Adriatic Croatia,0,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,English,," INTERREG IT-CRO 
 Green and resilient shared environment - 2.1.1. Specific objective: RSO2.4. Promoting climate change adaptation and disaster risk prevention, resilience taking into account eco-system based approaches




",Sharing of methodologies and approaches to define new or improved adaptation strategies; increased effectiveness of joint monitoring systems; improved awareness about climate change effects on natural and cultural heritage and on local economic activities,Joint Secretariat  INTERREG IT-CRO ,,1,"061. Risk prevention and management of non-climate related natural risks (for example earthquakes) and risks linked to human activities (for example technological accidents), including awareness raising, civil protection and disaster management systems, infrastructures and ecosystem based approaches. Total funding available: 3,763,236.04 EUR
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - INTERREG MED,Go To HR - INTERREG MED,"European Regional Development Fund (ERDF),  INTERREG MED",https://interreg-euro-med.eu/wp-content/uploads/documents/published/en/programme-documents/programme-documents/interreg_euro-med_programme_approved_en.pdf,Croatia,0,"Croatia, Cyprus, France (5 regions – Corse, Languedoc-Roussillon, Midi-Pyrénées, Provence Alpes Côte d’Azur, Rhône-Alpes), Greece, Italy (19 regions – Abruzzo, Apulia, Basilicata, Calabria, Campania, Emilia-Romagna, Friuli-Venezia Giulia, Lazio, Liguria, Lombardy, Marche, Molise, Piedmonte, Sardinia, Sicily, Tuscany, Umbria, Valle D’Aosta, Veneto), Malta, Portugal (3 regions – Algarve, Alentejo, Area Metropolitana de Lisboa), Slovenia, Spain (6 autonomous regions – Andalusia, Aragon, Catalonia, Balearic islands, Murcia, Valencia – and 2 autonomous cities – Ceuta and Melilla), United Kingdom (Gibraltar), Albania, Bosnia and Herzegovina, Montenegro",0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,English,," INTERREG Mediterran
2.4 Promoting climate change adaptation and disaster risk prevention, resilience, taking into account eco system- based approaches -



","Improve prevention and management of natural disaster risks and risks linked to human activities
Support public authorities in their efforts to reach 2030 and 2050 energy goals and carbon neutrality, achieving effective planning and financing for climate change adaptation and energy transition
Foster adaptation and resilience to climate change for more sustainable living areas increasing citizens engagement
",Joint Secretariat  INTERREG MED,,1,"060 Adaptation to climate change measures and prevention and management of climate related risks: others, e.g. storms and drought (including
awareness protection management inf rastructures) raising, civil and disaster systems. Total funding available: 29 403 014 €.
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - IPA CRO-BiH-MNG,Go To HR - IPA CRO-BiH-MNG,"European Regional Development Fund (ERDF),  IPA CBC Croatia - Bosnia and Herzegovina - Montenegro",https://interreg-hr-ba-me.eu/wp-content/uploads/2023/01/Interreg-VI-A-IPA-Croatia-Bosnia-and-Herzegovina-Montenegro_version-1.1.pdf,Croatia,"Bosnia and Herzegovina, Montenegro
",The Programme area includes 12 bordering counties on the Croatian side,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,English,," IPA CBC Croatia - Bosnia and Herzegovina - Montenegro
Specific objective: RSO2.4. Promoting climate change adaptation and disaster risk prevention, resilience taking into account eco-system based approaches



","Improve prevention and management of natural disaster risks and risks linked to human activities
Support public authorities in their efforts to reach 2030 and 2050 energy goals and carbon neutrality, achieving effective planning and financing for climate change adaptation and energy transition
Foster adaptation and resilience to climate change for more sustainable living areas increasing citizens engagement
",Joint Secretariat  IPA CBC Croatia - Bosnia and Herzegovina - Montenegro,,1,"058. Adaptation to climate change measures and prevention and management of climate related risks: floods and landslides (including awareness raising, civil protection and disaster management systems, infrastructures and ecosystem based approaches) Total funding available: 6,901,500.00 
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
ES PIMA Cambio Climatico,Go To ES PIMA Cambio Climatico,PIMA Cambio Climatico,https://fundacion-biodiversidad.es/es/convocatorias/convocatorias-de-ayudas-y-subvenciones,Spain,0,All regions,0,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,60%-100% co -financing rate,NOT SPECIFIED,0,YES,NO,0,MEDIUM,national language,,"The fund aims to promote and support adaptation to climate change in urban and peri-urban space.  Specific objectives of the fund are:
- to integrate climate change and green infrastructure in urban planning  and management;
- to adapt public builidngs to improve energy efficiency and prevent excess heat
- to increase urban biodiversity and imporve urban natural habitats
- to design and implement Low Emission Zones to imrpove air quality and mitigate greenhouse gas emissions","Development of strategies, assessments and plans",Ministry for Ecological Transition and Demographic Challenge,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://fundacion-biodiversidad.es/es/convocatorias/convocatorias-de-ayudas-y-subvenciones,fes-co2@miteco.es,0,0,"https://www.miteco.gob.es/es/cambio-climatico/planes-y-estrategias/PIMA%20Cambio%20Climatico.aspx#:~:text=El%20objetivo%20del%20PIMA%20Cambio,lucha%20frente%20al%20cambio%20clim%C3%A1tico.",additional general information on th fund,https://adaptecca.es/en,Spanish platform on adaptation to climate change
ES PREE 5000,Go To ES PREE 5000,PREE 5000,https://www.idae.es/ayudas-y-financiacion/para-la-rehabilitacion-de-edificios/programa-pree-5000-rehabilitacion,Spain,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,up to 100% co-financing,NOT SPECIFIED,0,NOT SPECIFIED,NO,0,MEDIUM,national language,,"The fund aims for improvement in energy efficiency and environmental protection in buildings honoring social aspects like Energy Poverty or holistic approaches, in municipalities with up to 5,000 inhabitants and non-urban municipalities with up to 20,000 inhabitants in which all their single population entities have up to 5,000 inhabitants",imporvement of the thermal envelope; imporvement of the energy efficiency and replacement of thermal installations; improvement of lighting installations,"Ministry for Ecological Transition and Demographic Challenge, IDEA, Autonomous Regions",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/20210916_IDAE_PREE_5000_Presentacion_conPautasImag.pdf,"ciudadano@idae.es
https://www.idae.es/contacto",https://www.fenercom.com/wp-content/uploads/2022/03/PREGUNTAS-FRECUENTES-PREE-5000-v02-11-enero-2022.pdf,FAQs,https://www.idae.es/sites/default/files/documentos/ayudas_y_financiacion/20210916_IDAE_PREE_5000_Presentacion_conPautasImag.pdf,presentaton of the program,0,0
ES Fundacion Biodiversidad,Go To ES Fundacion Biodiversidad,Fundacion Biodiversidad - Biodiversa+,https://fundacion-biodiversidad.es/buscador-de-convocatorias/,Spain,0,All regions,0,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,"60%-100%co-financing, varies between calls and depends on evaluation score",NOT SPECIFIED,0,YES,NO,0,MEDIUM,national language,,"The fund aims at the conservation of natural heritage and reserving biodiversity in several areas by conserving healthy ecosystems, restoring degraded ecosystems, promoting sustainable use of biodiversity and curbing the causes of their deterioration",Conservation and resotration of ecosystems and their biodiversity,Ministry for Ecological Transition and Demographic Challenge,,1,Biodiversa+,"This call aims to support 3-year projects dedicated to transnational (entities from a minimum of 3 EU countries), interdisciplinary, transdisciplinary and cross-sectoral research on nature-based solutions from all parts of the world focusing on the following themes: Synergies and trade-offs of nature-based solutions in the context of human well-being; Nature-based solutions mitigating anthropogenic drivers of biodiversity loss; The contribution of nature-based solutions to just transformative change. Mainly public research organisations, public universities, their university institutes, and private universities with proven R&D&I capacity and activity, and private entities are eligible. ",https://fundacion-biodiversidad.es/convocatorias_biodiv/convocatoria-del-partenariado-europeo-de-biodiversidad-biodiversa-biodivnbs-soluciones-basadas-en-la-naturaleza-para-la-biodiversidad-el-bienestar-humano-y-el-cambio-transformador/,0,0,0,0,0,0,0,0,0,0,0,,https://fundacion-biodiversidad.es/buscador-de-convocatorias/,"ciudadades@fundacion-biodiversidad.es
biodiversidad@fundacion-biodiversidad.es",https://www.youtube.com/watch?v=FeGyamgTyEU,recording of info-session,https://www.youtube.com/@fundacionbiodiversidad,youtube channel of the fund,https://fundacion-biodiversidad.es/buscador-de-convocatorias/?_sfm_estado=Cerradas,past projects
ES PRTR,Go To ES PRTR,"Plan de Recuperación, Transformación y Resiliencia",https://www.prtr.miteco.gob.es/,Spain,0,All regions,0,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,Tender,NO,NO,YES,YES,NO,up to 100% cofinancing,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The Plan seeks to articulate a series of investments and reforms aimed at increasing Spain's productivity and growth potential for a green, digital, inclusive transition, with greater social and territorial cohesion, and without gender gaps. This plan is already leveraging public and private investments and, as a whole, can mobilise up to €160 billion in transfers and loans in the period 2021 - 2026. The Plan's action is articulated through 10 policy levers. The calls for proposals are divided into thematic blocks: renewables, energy efficiency, sustainable mobility, just transition, hydrogen, water management, biodiversity and circular economy.",0,Ministerio para la Transición Ecológica y el Reto Demográfico (MITECO) ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ES PIMA Adapta,Go To ES PIMA Adapta,PIMA Adapta,https://www.miteco.gob.es/content/dam/miteco/es/cambio-climatico/temas/impactos-vulnerabilidad-y-adaptacion/pt1-pnacc_tcm30-535273.pdf,Spain,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,national language,,"Its aim is to implement projects that reduce vulnerability to the effects of climate change, anticipating the expected impacts. PIMA Adapta implements concrete climate change adaptation projects. Its budget comes from the proceeds of the Emissions Trading Scheme (ETS).",0,Ministerio para la Transición Ecológica y el Reto Demográfico (MITECO) ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.miteco.gob.es/es/ministerio/servicios/ayudas-subvenciones.html,0,0,0,0,0,0,0
ES FEDER,Go To ES FEDER,FEDER,https://www.fondoseuropeos.hacienda.gob.es/sitios/dgfc/es-ES/ipr/fcp2020/P2127/PF/Documents/Programa_POPE.pdf,Spain,0,All regions (rural and coastal zones and islands),0,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,0,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Fund climate change adaptation actions, prioritising those with a preventive approach, preferably through nature-based solutions.",0,Ministerio de Hacienda y Funcion Publica,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SI - Climate Change Fund,Go To SI - Climate Change Fund,Climate Change Fund,https://www.gov.si/novice/2022-10-27-sprejet-program-porabe-sredstev-sklada-za-podnebne-spremembe-za-leti-2022-in-2023/,Slovenia,0,all regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,depends on the project / tender,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,Covers various topics related to climate change - from large-scale national investments to subsidising specific investments. The Climate fund is the umbrella funding mechanism in the area of climate change and is financed from auctioning allowances in the EU ETS system.,"The climate Fund is supporting mitigation and adaptation measures in various fileds such as: energy efficiency (industry, buildings, transport, education...) renewable energy sourcess, sustainable buildings, wood-processing industry, sustainable mobility, research, innovation and competitiveness, adaptation to CC, biodiversity conservation, natural disasters, moitoring of vector-born deseases awareness rising and informing,co-financing of NGOs, co-financing of LIFE projects, digitalization, green jobs, circular economy, international climate projects, reduction of energy poverty . The measures are implemented through various ministries and governmental institutions, such as: Ministry of the Environment, Climate and Energy; Eco Fund, Ministry of Agriculture, Forestry and Food; Ministry of the Economy, Tourism and Sport, Slovenian Infrastructure Agency, various Universities/Faculties, Employment Service of Slovenia etc.","State / Ministry of Environment, Climate and Energy",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.uradni-list.si/files/RS_-2022-138-03397-OB~P001-0000.PDF,"MOPE - Ministry of the Environment, Climate and Energy, ",0,0,https://www.gov.si/novice/2022-10-27-sprejet-program-porabe-sredstev-sklada-za-podnebne-spremembe-za-leti-2022-in-2023/  Program porabe sredstev Sklada za podnebne spremembe za leti 2022 in 2023 / Program for the use of funds of the Climate Change Fund for the years 2022 and 2023,"The document offers a general description of the allocation of funds but no information on specific tenders. Those are provided by individual ministries, govnmental bodies and/or other institutions responsible for allocation of funds for individual areas/projects/measures.",0,0
